,complex_id,stop_name,constituent_station_name
1922,276,5 Av/53 St,5 Av/53 St
1927,277,7 Av,7 Av
1931,196,Aqueduct Racetrack,Aqueduct Racetrack
1935,197,Aqueduct-N Conduit Av,Aqueduct-N Conduit Av
1938,198,Howard Beach-JFK Airport,Howard Beach-JFK Airport
1942,199,Broad Channel,Broad Channel
1943,200,Beach 90 St,Beach 90 St
1947,201,Beach 98 St,Beach 98 St
1950,202,Beach 105 St,Beach 105 St
1953,203,Rockaway Park-Beach 116 St,Rockaway Park-Beach 116 St
1954,204,Beach 67 St,Beach 67 St
1961,205,Beach 60 St,Beach 60 St
1966,206,Beach 44 St,Beach 44 St
1970,207,Beach 36 St,Beach 36 St
1974,208,Beach 25 St,Beach 25 St
1977,209,Far Rockaway-Mott Av,Far Rockaway-Mott Av
1978,71,8 Av,8 Av
1980,72,Fort Hamilton Pkwy,Fort Hamilton Pkwy
1982,615,62 St/New Utrecht Av,New Utrecht Av
1984,74,18 Av,18 Av
1986,75,20 Av,20 Av
1987,76,Bay Pkwy,Bay Pkwy
1989,77,Kings Hwy,Kings Hwy
1991,78,Avenue U,Avenue U
1993,79,86 St,86 St
1994,58,Coney Island-Stillwell Av,Coney Island-Stillwell Av
1997,475,96 St,96 St
2001,476,86 St,86 St
2005,477,72 St,72 St
2009,501,St George,St George
2011,502,Tompkinsville,Tompkinsville
2012,503,Stapleton,Stapleton
2014,504,Clifton,Clifton
2018,505,Grasmere,Grasmere
2019,506,Old Town,Old Town
2022,507,Dongan Hills,Dongan Hills
2028,508,Jefferson Av,Jefferson Av
2030,509,Grant City,Grant City
2034,510,New Dorp,New Dorp
2039,511,Oakwood Heights,Oakwood Heights
2043,512,Bay Terrace,Bay Terrace
2046,513,Great Kills,Great Kills
2050,514,Eltingville,Eltingville
2053,515,Annadale,Annadale
2056,516,Huguenot,Huguenot
2058,517,Prince's Bay,Prince's Bay
2062,518,Pleasant Plains,Pleasant Plains
2064,519,Richmond Valley,Richmond Valley
2068,523,Arthur Kill,Arthur Kill
2071,522,Tottenville,Tottenville
2075,59,9 Av,9 Av
2076,60,Fort Hamilton Pkwy,Fort Hamilton Pkwy
2080,61,50 St,50 St
2084,62,55 St,55 St
2090,64,71 St,71 St
2096,65,79 St,79 St
2100,66,18 Av,18 Av
2103,67,20 Av,20 Av
2107,68,Bay Pkwy,Bay Pkwy
2112,69,25 Av,25 Av
2116,70,Bay 50 St,Bay 50 St
